moment,node,buffer_cache,free,map,used
1,2,10077340,95144808,59952,2261264
1,4,9957060,95186844,59892,2339508
1,5,10049040,95081772,60112,2352600
1,3,9901868,95220580,59984,2360964
1,7,9951940,95229856,59932,2301616
1,1,9974624,95211956,60360,2296832
1,6,10025440,95095440,60080,2362532
2,2,10209572,95003772,59952,2270068
2,4,9957068,95186804,60124,2339540
2,5,10092116,95037708,60416,2353588
2,3,10033632,95084912,59984,2364868
2,7,9951960,95231932,59932,2299520
2,1,10149152,94821292,72600,2512968
2,6,10068700,95068324,60080,2346388
3,2,10384048,94482124,72476,2617240
3,3,10208620,94571044,72588,2703748
3,4,10131672,94673008,72560,2678732
3,5,10266752,94487544,72764,2729116
3,7,10126576,94694224,72476,2662612
3,1,10149348,94217376,72652,3116688
3,6,10243408,93999096,72688,3240908
4,4,10264848,93465676,77292,3752888
4,2,10517296,93206868,77080,3759248
4,3,10341748,93373872,77132,3767792
4,5,10399948,93304396,77296,3779068
4,7,10259824,93470324,77080,3753264
4,1,10282516,93124668,77292,4076228
4,6,10443212,92496692,79516,4543508
5,4,10348036,91760840,77292,5374536
5,3,10452564,91647736,77132,5383112
5,2,10607172,91655688,77080,5220552
5,5,10510708,91417440,77296,5555264
5,1,10365672,91525292,77292,5592448
5,7,10320832,92044072,77088,5118508
5,6,10527812,90211076,79512,6744524
6,4,10493748,86959624,77292,10030040
6,3,10626444,85018852,77132,11838116
6,5,10690324,85872316,77340,10920772
6,2,10773796,86531688,77788,10177928
6,1,10499496,86690264,77292,10293652
6,7,10430208,87738772,77088,9314432
6,6,10663776,85094012,79536,11725624
7,4,10521936,85062132,80820,11899344
7,3,10663100,84095424,81032,12724888
7,2,10810780,83904660,81036,12767972
7,5,10723480,83528528,81060,13231404
7,1,10518444,85439568,80740,11525400
7,6,10696648,83229144,84104,13557620
7,7,10456848,86693156,80912,10333408
8,3,10740700,83951056,81016,12791656
8,5,10785864,83440156,81060,13257392
8,4,10588840,84323192,80856,12571380
8,2,10890424,83792152,81052,12800836
8,1,10572472,85371884,80740,11539056
8,7,10518980,85578844,80912,11385588
8,6,10759076,82710412,84120,14013924
9,3,10785220,83876816,81032,12821376
9,5,10817604,83396492,81060,13269316
9,4,10630860,84288792,80820,12563760
9,2,10935400,83563588,81036,12984424
9,1,10609208,85341128,80740,11533076
9,7,10559164,85526100,80912,11398148
9,6,10798144,82670188,84104,14015080
10,3,10863068,82829584,81032,13790760
10,1,10663752,85276992,80740,11542668
10,4,10697604,84181432,80820,12604376
10,5,10880752,83198488,81060,13404172
10,2,11014840,83468516,81036,13000056
10,6,10861920,82604672,84080,14016820
10,7,10621588,85447232,80912,11414592
11,3,10895884,82460140,81032,14127388
11,1,10679436,84897452,80740,11906524
11,4,10722528,83892164,80820,12868720
11,6,10887236,82533944,84104,14062232
11,5,10909324,83090508,81060,13483580
11,2,11048360,83426852,81036,13008200
11,7,10645044,85409660,80912,11428708
12,3,10974768,81233896,81032,15274748
12,1,10730492,84097628,80740,12655292
12,6,10949104,82163580,84104,14370728
12,5,10971528,83006892,81156,13504992
12,4,10789228,83838748,80820,12855436
12,2,11126972,83026620,81036,13329820
12,7,10709288,85225544,80912,11548580
13,3,11018048,81188264,81032,15277100
13,1,10770168,83776028,80740,12937216
13,5,11003484,82977620,81060,13502308
13,6,10988896,82128644,84104,14365872
13,4,10831448,83771396,80820,12880568
13,2,11173052,81450120,81036,14860240
13,7,10747384,84638988,80912,12097040
14,3,11094372,81100644,81032,15288396
14,1,10824684,83691700,80740,12967028
14,5,11066512,82245776,81060,14171124
14,6,11052844,82044916,83908,14385652
14,4,10898808,83724196,80820,12860408
14,2,11252656,81354024,81036,14876732
14,7,10811784,84111776,80912,12559852
15,3,11128732,81018508,81032,15336172
15,1,10840356,83698548,80740,12944508
15,5,11095196,82071280,81060,14316936
15,6,11077656,82029112,84088,14376644
15,4,10923100,83349628,80820,13210684
15,2,11286324,81319540,81036,14877548
15,7,10833308,84097488,80912,12552616
16,3,11173272,80983300,81032,15326840
16,1,10877496,83259000,80740,13346916
16,5,11127376,81883800,81340,14472236
16,6,11116588,81983208,84288,14383616
16,2,11331980,81281992,81036,14869440
16,4,10965152,82568748,80820,13949512
16,7,10872892,83412052,80912,13198468
17,3,11250872,80826372,81032,15406168
17,1,10931140,82347984,80740,14204288
17,6,11180556,80739904,84104,15562952
17,5,11189300,81183788,81060,15110324
17,2,11411136,81179056,81036,14893220
17,4,11032004,81493716,80820,14957692
17,7,10936380,82899756,80912,13647276
18,3,11283936,80789888,81032,15409588
18,1,10947680,82336420,80740,14199312
18,6,11206064,79684676,84104,16592672
18,5,11219092,81168844,81060,15095476
18,2,11445336,81132628,81036,14905448
18,4,11056828,81251704,80820,15174880
18,7,10958788,82900308,80912,13624316
19,3,11361628,80737868,81032,15383916
19,1,11002352,82214744,80740,14266316
19,6,11267052,78220852,84104,17995508
19,5,11281148,81055636,81060,15146628
19,4,11125504,81171028,80820,15186880
19,2,11524420,81032876,81036,14926116
19,7,11021988,82831412,80880,13630012
20,3,11406080,80677020,81032,15400312
20,1,11038456,82155472,80740,14289484
20,6,11307816,78172724,84104,18002872
20,5,11313216,81010284,81060,15159912
20,4,11165756,81116692,80640,15200964
20,2,11569964,80973000,80848,14940448
20,7,11061124,82685916,80912,13736372
21,3,11483436,80586872,81032,15413104
21,1,11093268,82131552,80740,14258592
21,6,11373440,78106084,84152,18003888
21,5,11376076,80959356,81060,15147980
21,2,11650032,80882912,81036,14950468
21,4,11233244,81019488,80844,15230680
21,7,11124092,82594184,80912,13765136
22,3,11516716,80536128,81032,15430568
22,1,11108668,82098528,80740,14276216
22,5,11404944,80925020,81060,15153448
22,6,11397224,78102436,84104,17983752
22,2,11683616,80818744,81036,14981052
22,4,11257408,80989428,80820,15236576
22,7,11146992,82556628,80912,13779792
23,3,11594036,80452796,81032,15436580
23,5,11466788,80812932,81060,15203692
23,1,11160112,82055864,80740,14267436
23,6,11456888,78033060,84104,17993464
23,2,11765248,80745948,81036,14972216
23,7,11210920,82493812,80912,13778680
23,4,11322712,80902576,80496,15258124
24,3,11638860,80386280,81032,15458272
24,5,11499056,80752124,81060,15232232
24,1,11199420,82000800,80740,14283192
24,6,11499188,77972000,84104,18012224
24,2,11808564,80695384,81036,14979464
24,7,11249496,82456152,80912,13777764
24,4,11366288,80873856,80820,15243268
25,3,11717708,80325444,81032,15440260
25,1,11255580,81765232,80716,14462600
25,5,11563288,80696872,81060,15223252
25,6,11564800,77848304,84104,18070308
25,2,11886320,80621868,81012,14975224
25,7,11313312,82198124,80912,13971976
25,4,11434840,80722556,80820,15326016
26,3,11749548,80259376,81032,15474488
26,1,11269604,81442260,80740,14771548
26,5,11590784,80654188,81268,15238440
26,6,11588740,77824704,84104,18069968
26,2,11921984,80569168,81036,14992260
26,7,11335164,81539336,80912,14608912
26,4,11457956,80698988,80820,15326468
27,3,11825932,80197744,81032,15459736
27,1,11324660,80922356,80740,15236396
27,5,11654288,80576924,81060,15252200
27,6,11648492,77638316,84104,18196604
27,2,12000960,80456068,81036,15026384
27,7,11399392,80994164,80912,15089856
27,4,11523900,80645112,80820,15314400
28,3,11871656,80088012,81032,15523744
28,1,11360404,80882304,80740,15240704
28,5,11684892,80561064,81060,15237456
28,6,11690768,77600136,84104,18192508
28,2,12046996,80395844,81036,15040572
28,7,11437500,80934108,80912,15111804
28,4,11566856,80569124,80820,15347432
29,3,11904740,80057568,81032,15521104
29,1,11376948,80874732,80740,15231732
29,5,11714712,80528104,81060,15240596
29,6,11716816,77573636,84104,18192960
29,2,12081292,80380924,81036,15021196
29,7,11460624,80905796,80912,15116992
29,4,11591656,80542708,80820,15349048
30,3,11982396,79978824,81032,15522192
30,5,11776464,80453560,81060,15253388
30,1,11429820,80710608,80740,15342984
30,6,11780108,77505952,84104,18197352
30,2,12161136,80269044,81036,15053232
30,7,11522840,80844812,80912,15115760
30,4,11658604,80483936,81484,15340872
31,3,12026852,79925216,81032,15531344
31,1,11467712,80659828,80740,15355872
31,5,11808816,80405616,81060,15268980
31,6,11818800,77452776,84104,18211836
31,2,12206428,80229380,81036,15047604
31,7,11562940,80781572,80912,15138900
31,4,11700548,80438992,80820,15343872
32,3,12104744,79841856,81032,15536812
32,1,11521400,80629704,80740,15332308
32,5,11871360,80333292,81060,15278760
32,6,11883584,76590516,84104,19009312
32,2,12286564,80120312,81036,15076536
32,7,11627240,80700920,80888,15155252
32,4,11768600,80345744,81484,15369068
33,3,12137528,79821588,81032,15524296
33,1,11537884,80607756,80740,15337772
33,5,11900592,80318612,81060,15264208
33,6,11908476,75864624,84104,19710312
33,2,12320044,80083848,81036,15079520
33,7,11648792,80694884,80912,15139736
33,4,11792204,80319956,80820,15371252
34,3,12182060,79761692,81032,15539660
34,1,11574996,80578328,80740,15330088
34,5,11932724,80270516,81156,15280172
34,6,11947636,75028228,84304,20507548
34,2,12366464,80029908,81036,15087040
34,7,11688408,80633300,80912,15161704
34,4,11834252,80272216,81008,15376944
35,1,11723984,80273836,80740,15485592
35,3,12369276,79450044,81032,15664092
35,5,12121220,79973080,81060,15389112
35,6,12139992,74050376,84104,21293044
35,2,12561364,79805496,81036,15116552
35,7,11865472,80421420,80912,15196520
35,4,12023832,80048184,80820,15411396
36,1,10327664,81360308,80740,15795440
36,3,10799240,80662572,81032,16021600
36,5,11000732,80851480,81060,15631200
36,6,10395172,75330040,84104,21758200
36,2,10977264,80797884,81036,15708264
36,7,10399680,81717116,80912,15366616
36,4,10488540,81216760,81276,15778112
