moment,node,recv_packets,send_bytes,send_packets
1,2,75,30346,75
1,3,39,7211,45
1,5,36,6926,40
1,4,55,28605,56
1,1,56,23983,56
1,6,16,4977,23
1,7,192,3651518,189
2,2,22,6298,26
2,3,4947,201172,2950
2,5,7819,44847934,7560
2,4,2214,44475630,2527
2,1,17,5183,24
2,6,11663,271388565,10373
2,7,56,135691,64
3,2,4926,193350,2845
3,4,5221,88830795,4054
3,3,232,102070,266
3,1,4920,250682,2965
3,5,5704,359935458,7327
3,6,5664,271081523,6278
3,7,5578,360983,2967
4,2,2764,230545,1916
4,1,3370,264861,2126
4,3,4510,306229,2899
4,4,3200,311043,2000
4,5,3072,385233,1982
4,6,3032,245629,2158
4,7,3785,213082,1704
5,2,30373,1577079,23579
5,1,31489,1776859,26646
5,3,35863,1885594,27943
5,4,29987,1614074,24168
5,5,30013,1539036,23034
5,6,30222,1655227,24766
5,7,42045,1554237,23026
6,2,30584,1596601,22669
6,1,32097,2065396,26815
6,4,31322,1717738,24299
6,3,37179,2012330,28204
6,5,29523,1565508,22095
6,6,30533,1685933,23919
6,7,44461,1624150,23065
7,2,19492,1062423,15581
7,1,12623,798918,10907
7,3,39422,2084616,31139
7,4,16468,914140,13437
7,5,18544,1000775,14664
7,6,17706,1002370,14676
7,7,44031,1466171,21861
8,2,315,206734,367
8,1,441,1011413,496
8,3,3954,507795,3319
8,4,345,231715,390
8,5,379,222662,427
8,6,314,208934,377
8,7,4533,370161,2511
9,2,571,331144,654
9,1,758,1478327,832
9,3,838,524843,973
9,4,565,318225,641
9,5,621,323102,707
9,6,568,334256,652
9,7,545,326530,612
10,2,317,223750,373
10,1,464,1088063,521
10,3,463,316775,560
10,4,343,244246,397
10,5,396,239495,454
10,6,335,241957,393
10,7,336,218073,390
11,1,2543,3037566,2668
11,2,2289,659422,2410
11,3,3036,934834,3221
11,5,2331,714272,2521
11,4,2184,669777,2314
11,6,2256,674796,2424
11,7,1947,627458,2115
12,1,1625,3463197,1806
12,3,1810,912665,2010
12,2,1324,665027,1497
12,5,1482,728579,1699
12,4,1367,689788,1534
12,6,1410,691822,1586
12,7,1144,647123,1293
